id	titre	message
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
1	Pas d'info	Tu n'as pas d'info
2	Rumeur	La prof de Français a la COVID
3	Rumeur	n˚___ a embrassé n˚___
4	Rumeur	n˚___ a volé le goûter de n˚___
5	Rumeur	n˚___ a envoyé une phtot a n˚___ en sous-vêtements
6	Rumeur	n˚___ et n˚___ se sont vu ce week-end sans prévenir n˚___
7	Rumeur	n˚___ utilise son téléphone dans les toilettes
8	Rumeur	La prof de SVT sort avec le prof de sport
9	Rumeur	n˚___ a apporté un couteau dans son sac
10	Rumeur	n˚___ a dit que n˚___ est bête
11	Rumeur	n˚___ est amoureux de n˚___ 
12	Vérité	La prof de Français est absente
13	Vérité	Le cours de Math est reporté
14	Vérité	Le contrôle de HG est reporté a la semaine prochaine
15	Vérité	n˚___ a apporté un couteau dans son sac
16	Vérité	n˚___ a encore pris 10kg
17	Vérité	n˚___ se fait vomir dans les toilettes
18	Vérité	les parents de n˚___ se sont disputés ce week-end
19	Vérité	n˚___ n'a qu'une paire de chaussures
